Producción;Código departamento;Código municipio;Departamento;Municipio
12615.77;5;5145;Antioquia;Caramanta
1010.4;15;15757;Boyacá;Socha
2811.86;5;5212;Antioquia;Copacabana
11639.47;54;54125;Norte de Santander;Cácota
5953.93;15;15380;Boyacá;La Capilla
92355.67;68;68855;Santander;Valle de San José
46255.96;17;17174;Caldas;Chinchiná
16729.47;5;5604;Antioquia;Remedios
9289.32;52;52110;Nariño;Buesaco
7404.33;52;52233;Nariño;Cumbitara
5428.6;50;50318;Meta;Guamal
12588.28;68;68255;Santander;El Playón
9751.73;15;15480;Boyacá;Muzo
34431.16;68;68101;Santander;Bolivar
32066.85;19;19137;Cauca;Caldono
22106.59;20;20060;Cesar;Bosconia
3091.04;70;70204;Sucre;Colosó
161271.4;20;20310;Cesar;González
846.45;15;15401;Boyacá;La Victoria
37040.48;13;13670;Bolívar;San Pablo
467596.41;25;25148;Cundinamarca;Caparrapí
48478.61;5;5842;Antioquia;Uramita
7955.89;68;68264;Santander;Encino
153658.13;66;66075;Risaralda;Balboa
4180.91;15;15753;Boyacá;Soatá
8278.76;52;52051;Nariño;Arboleda (Berruecos)
4575.42;5;5736;Antioquia;Segovia
86252.29;13;13442;Bolívar;María la Baja
4979.24;52;52378;Nariño;La Cruz
51597.2;13;13655;Bolívar;San Jacinto del Cauca
6959.32;15;15218;Boyacá;Covarachía
16447.32;8;8560;Atlántico;Ponedera
7930.34;5;5809;Antioquia;Titiribí
755.15;52;52480;Nariño;Nariño
18352.97;70;70418;Sucre;Los Palmitos
523;15;15276;Boyacá;Floresta
27765.2;70;70713;Sucre;San Onofre
1760.5;15;15676;Boyacá;San Miguel de Sema
56204.41;25;25736;Cundinamarca;Sesquilé
18457.78;41;41357;Huila;Íquira
5084.81;50;50270;Meta;El Dorado
1238.74;25;25817;Cundinamarca;Tocancipá
7264.93;5;5055;Antioquia;Argelia
48833.32;68;68397;Santander;La Paz
20500.2;47;47058;Magdalena;Ariguaní (El Dificil)
30283.26;19;19318;Cauca;Guapi
63678.12;5;5674;Antioquia;San Vicente
24286.04;25;25099;Cundinamarca;Bojacá
72872.49;54;54820;Norte de Santander;Toledo
160925.84;5;5172;Antioquia;Chigorodó
59862.59;68;68167;Santander;Charalá
920.44;15;15332;Boyacá;Guicán
8480;70;70823;Sucre;Toluviejo
1857.14;68;68370;Santander;Jordán
34671.13;25;25513;Cundinamarca;Pacho
33848.62;19;19585;Cauca;Puracé (Coconuco)
7305.81;66;66456;Risaralda;Mistrató
8312.94;5;5656;Antioquia;San Jerónimo
6796.78;8;8436;Atlántico;Manatí
89484.88;5;5686;Antioquia;Santa Rosa de Osos
24439.33;19;19693;Cauca;San Sebastián
32198.86;19;19809;Cauca;Timbiquí
579612.08;76;76670;Valle del Cauca;San Pedro
28852.06;13;13458;Bolívar;Montecristo
11613.81;52;52418;Nariño;Los Andes (Sotomayor)
2062.36;54;54347;Norte de Santander;Herrán
11813.72;27;27372;Chocó;Juradó
22.92;88;88564;San Andrés Providencia y Santa Catalina;San Andres Y  Providencia (Santa Isabel)
48865.17;76;76020;Valle del Cauca;Alcalá
83047.14;68;68179;Santander;Chipatá
16823.4;47;47245;Magdalena;El Banco
28076.24;25;25120;Cundinamarca;Cabrera
5568.49;68;68276;Santander;Floridablanca
31027.32;73;73861;Tolima;Venadillo
20992.48;25;25841;Cundinamarca;Ubaque
45940.42;44;44090;La Guajira;Dibulla
36453.59;5;5031;Antioquia;Amalfi
65299.62;5;5079;Antioquia;Barbosa
1537.96;15;15533;Boyacá;Paya
29998.35;25;25769;Cundinamarca;Subachoque
770.6;15;15362;Boyacá;Iza
10269.3;15;15507;Boyacá;Otanche
11021.54;15;15368;Boyacá;Jericó
4803242.25;76;76520;Valle del Cauca;Palmira
31451.73;5;5234;Antioquia;Dabeiba
1246083.53;76;76895;Valle del Cauca;Zarzal
80406.68;18;18150;Caquetá;Cartagena del Chairá
271862.36;85;85139;Casanare;Maní
5581.42;13;13042;Bolívar;Arenal
20519.49;13;13473;Bolívar;Morales
23968.69;5;5690;Antioquia;Santo Domingo
4149.94;15;15514;Boyacá;Páez
14268.33;68;68745;Santander;Simacota
115654.54;50;50001;Meta;Villavicencio
40825.44;41;41206;Huila;Colombia
4623.6;81;81220;Arauca;Cravo Norte
54182.64;19;19473;Cauca;Morales
4767.11;54;54680;Norte de Santander;Santiago
7814.69;47;47960;Magdalena;Zapayán
30611.84;18;18460;Caquetá;Milán
26796.09;5;5789;Antioquia;Támesis
16441.81;5;5861;Antioquia;Venecia
44406.74;54;54385;Norte de Santander;La Esperanza
21981.53;25;25799;Cundinamarca;Tenjo
1818.86;25;25307;Cundinamarca;Girardot
10508.77;15;15293;Boyacá;Gachantivá
25081.83;52;52254;Nariño;El Peñol
3457.17;8;8832;Atlántico;Tubará
31457.1;73;73411;Tolima;Líbano
264399.55;76;76041;Valle del Cauca;Ansermanuevo
112958.61;73;73168;Tolima;Chaparral
25709.17;52;52399;Nariño;La Unión
4066.13;19;19364;Cauca;Jambaló
15423.43;17;17524;Caldas;Palestina
139552.45;81;81736;Arauca;Saravena
11117.66;18;18205;Caquetá;Curillo
2445.8;86;86219;Putumayo;Colón
37990.87;23;23678;Córdoba;San Carlos
19576;68;68573;Santander;Puerto Parra
4295.21;85;85279;Casanare;Recetor
134057.59;50;50680;Meta;San Carlos de Guaroa
1076875.12;76;76497;Valle del Cauca;Obando
16738.73;73;73352;Tolima;Icononzo
133848.72;68;68861;Santander;Vélez
5238;25;25224;Cundinamarca;Cucunubá
3011.73;15;15464;Boyacá;Mongua
3585.06;15;15693;Boyacá;Santa Rosa de Viterbo
54962.5;54;54743;Norte de Santander;Silos
3916.03;15;15522;Boyacá;Panqueba
59365.8;25;25377;Cundinamarca;La Calera
17356.74;68;68320;Santander;Guadalupe
2549.34;27;27075;Chocó;Bahía Solano (Mutis)
25579.77;70;70678;Sucre;San Benito Abad
64973.24;20;20550;Cesar;Pelaya
233217.04;19;19130;Cauca;Cajibío
32640.5;95;95025;Guaviare;El Retorno
11608.88;73;73236;Tolima;Dolores
15681.37;68;68322;Santander;Guapotá
18740.33;23;23300;Córdoba;Cotorra
7186.26;25;25040;Cundinamarca;Anolaima
44019.37;25;25260;Cundinamarca;El Rosal
2826.2;44;44035;La Guajira;Albania
50639.71;52;52506;Nariño;Ospina
4160;13;13490;Bolívar;Norosi
4154.8;44;44874;La Guajira;Villanueva
26305.06;66;66440;Risaralda;Marsella
79275.44;5;5148;Antioquia;Carmen de Viboral
1688.24;15;15621;Boyacá;Rondón
64322.61;5;5858;Antioquia;Vegachí
10465.59;17;17867;Caldas;Victoria
16923.21;54;54377;Norte de Santander;Labateca
64191.39;76;76122;Valle del Cauca;Caicedonia
180.22;15;15723;Boyacá;Sativasur
25981.84;5;5051;Antioquia;Arboletes
91090;13;13657;Bolívar;San Juan Nepomuceno
118981.49;15;15047;Boyacá;Aquitania
32309.81;50;50251;Meta;El Castillo
12049.69;68;68147;Santander;Capitanejo
3658.76;5;5854;Antioquia;Valdivia
10194.23;5;5660;Antioquia;San Luis
53295.96;68;68689;Santander;San Vicente de Chucurí
21353.81;25;25095;Cundinamarca;Bituima
460475.25;5;5045;Antioquia;Apartadó
1268.65;15;15790;Boyacá;Tasco
68005.35;15;15646;Boyacá;Samacá
22857.47;41;41770;Huila;Suaza
67845.39;73;73026;Tolima;Alvarado
2113.76;27;27413;Chocó;Lloró
60918.2;73;73616;Tolima;Rioblanco
18794.03;25;25518;Cundinamarca;Paime
113191.79;25;25875;Cundinamarca;Villeta
72919.02;50;50400;Meta;Lejanías
15944.43;15;15580;Boyacá;Quípama
3211.04;68;68169;Santander;Charta
15007.77;41;41319;Huila;Guadalupe
53356.32;15;15764;Boyacá;Soracá
10475;8;8520;Atlántico;Palmar de Varela
23744.75;41;41548;Huila;Pital
61674.81;25;25386;Cundinamarca;La Mesa
2146.27;8;8137;Atlántico;Campo de la Cruz
90644.4;81;81001;Arauca;Arauca
35142.61;19;19517;Cauca;Páez (Belalcázar)
3371.66;52;52390;Nariño;La Tola
77424.92;13;13244;Bolívar;El Carmen de Bolívar
2047.46;5;5347;Antioquia;Heliconia
9533.2;13;13030;Bolívar;Altos del Rosario
8810.14;15;15762;Boyacá;Sora
18868.9;23;23570;Córdoba;Pueblo Nuevo
46449.34;25;25320;Cundinamarca;Guaduas
538211.83;19;19845;Cauca;Villa Rica
8980.09;13;13673;Bolívar;Santa Catalina
89224.27;63;63401;Quindío;La Tebaida
3824.15;68;68432;Santander;Málaga
7230.02;25;25297;Cundinamarca;Gachetá
21649.51;41;41797;Huila;Tesalia
10629.92;41;41013;Huila;Agrado
23640.61;20;20228;Cesar;Curumaní
30067.76;18;18592;Caquetá;Puerto Rico
76756.68;54;54003;Norte de Santander;Ábrego
10100.64;41;41349;Huila;Hobo
6797.05;50;50686;Meta;San Juanito
27828.82;73;73686;Tolima;Santa Isabel
21541.1;86;86320;Putumayo;Orito
16907.97;13;13647;Bolívar;San Estanislao
30349.27;15;15776;Boyacá;Sutamarchán
32716.12;23;23068;Córdoba;Ayapel
103894.56;66;66001;Risaralda;Pereira
2514.98;25;25175;Cundinamarca;Chía
64936.86;41;41799;Huila;Tello
9331.19;52;52694;Nariño;San Pedro de Cartago (Cartago)
5002.39;18;18256;Caquetá;El Paujil
511;27;27135;Chocó;El Cantón del San Pablo (Managrú)
32672.8;76;76377;Valle del Cauca;La Cumbre
24320.98;5;5209;Antioquia;Concordia
72573.91;47;47288;Magdalena;Fundación
1524.49;52;52385;Nariño;La Llanada
31710;85;85125;Casanare;Hato Corozal
9618.52;27;27050;Chocó;Atrato (Yuto)
1401.16;5;5380;Antioquia;La Estrella
23805.41;25;25151;Cundinamarca;Cáqueza
5342.49;19;19290;Cauca;Florencia
50274.36;15;15051;Boyacá;Arcabuco
13087.96;25;25506;Cundinamarca;Venecia
28147.24;25;25258;Cundinamarca;El Peñón
19111.12;18;18610;Caquetá;San José del Fragua
65314.75;17;17662;Caldas;Samaná
3557.01;15;15244;Boyacá;El Cocuy
9605.11;15;15511;Boyacá;Pachavita
7152.2;54;54128;Norte de Santander;Cáchira
44517.98;50;50683;Meta;San Juan de Arama
12218.6;15;15224;Boyacá;Cucaita
56263.25;70;70265;Sucre;Guaranda
32227.98;68;68344;Santander;Hato
15330.74;13;13268;Bolívar;El Peñón
2224.72;15;15215;Boyacá;Corrales
22068.82;54;54480;Norte de Santander;Mutiscua
12106.97;70;70702;Sucre;San Juan de Betulia (Betulia)
84672.15;25;25653;Cundinamarca;San Cayetano
20287.19;5;5001;Antioquia;Medellín
116973.89;63;63470;Quindío;Montenegro
6262.42;68;68418;Santander;Los Santos
9889.99;5;5315;Antioquia;Guadalupe
5096.48;25;25871;Cundinamarca;Villagómez
5492.8;25;25181;Cundinamarca;Choachí
163650.01;5;5670;Antioquia;San Roque
42744.38;23;23574;Córdoba;Puerto Escondido
87534.91;20;20621;Cesar;La Paz
2401.94;5;5628;Antioquia;Sabanalarga
16022.43;25;25290;Cundinamarca;Fusagasugá
1070048.61;19;19455;Cauca;Miranda
67546.83;23;23090;Córdoba;Canalete
87566.74;54;54720;Norte de Santander;Sardinata
6808;13;13212;Bolívar;Córdoba
14636.28;25;25123;Cundinamarca;Cachipay
13863.24;5;5576;Antioquia;Pueblorrico
17319.45;47;47570;Magdalena;Puebloviejo
70888.08;73;73043;Tolima;Anzoátegui
5464.47;85;85400;Casanare;Támara
65056.03;20;20710;Cesar;San Alberto
81513.51;17;17614;Caldas;Riosucio
19917.63;17;17541;Caldas;Pensilvania
18643.66;52;52227;Nariño;Cumbal
48092.5;23;23162;Córdoba;Cereté
1194.67;27;27745;Chocó;Sipí
6569.17;15;15798;Boyacá;Tenza
15649.19;15;15755;Boyacá;Socotá
3998.34;68;68682;Santander;San Joaquín
110297.43;25;25649;Cundinamarca;San Bernardo
14908.96;52;52256;Nariño;El Rosario
15103.99;8;8433;Atlántico;Malambo
27509.07;5;5895;Antioquia;Zaragoza
44870.7;52;52678;Nariño;Samaniego
247.5;18;18479;Caquetá;Morelia
20970.23;52;52320;Nariño;Guaitarilla
9417.69;15;15759;Boyacá;Sogamoso
10431.46;73;73675;Tolima;San Antonio
4646.72;15;15226;Boyacá;Cuítiva
9672.08;5;5091;Antioquia;Betania
73679.64;17;17513;Caldas;Pácora
50335.87;5;5483;Antioquia;Nariño
68619.98;50;50450;Meta;Puerto Concordia
120129.88;81;81300;Arauca;Fortul
4824.58;15;15425;Boyacá;Macanal
23090.63;25;25898;Cundinamarca;Zipacón
3382.3;68;68296;Santander;Galán
3980.44;23;23682;Córdoba;San Jose de Ure
10758.37;27;27491;Chocó;Nóvita
121852.49;27;27150;Chocó;Carmen del Darién  (Curbaradó)
9781.68;52;52685;Nariño;San Bernardo
13480.79;25;25279;Cundinamarca;Fómeque
41348.35;5;5002;Antioquia;Abejorral
18606.9;27;27800;Chocó;Unguía
84919.87;41;41524;Huila;Palermo
35440.64;52;52250;Nariño;El Charco
7455.83;25;25053;Cundinamarca;Arbeláez
3426;8;8675;Atlántico;Santa Lucía
10001;99;99624;Vichada;Santa Rosalía
81947.52;68;68533;Santander;Páramo
19000.15;19;19743;Cauca;Silvia
21067.02;25;25743;Cundinamarca;Silvania
11059.52;68;68686;Santander;San Miguel
43.18;5;5631;Antioquia;Sabaneta
507402.06;76;76036;Valle del Cauca;Andalucía
4632.87;52;52565;Nariño;Providencia
57879.41;17;17088;Caldas;Belalcazar
976.89;68;68211;Santander;Contratación
16350.54;25;25779;Cundinamarca;Susa
34469.45;18;18029;Caquetá;Albania
57019.37;17;17777;Caldas;Supia
42447.22;15;15212;Boyacá;Coper
25187.45;54;54670;Norte de Santander;San Calixto
78832.99;50;50226;Meta;Cumaral
3603.1;25;25299;Cundinamarca;Gama
772.2;86;86755;Putumayo;San Francisco
39232.4;68;68502;Santander;Onzaga
4097.81;5;5761;Antioquia;Sopetrán
25091.08;25;25168;Cundinamarca;Chaguaní
14409.97;66;66383;Risaralda;La Celia
5937.73;68;68266;Santander;Enciso
7198.79;52;52693;Nariño;San Pablo
389070.98;5;5147;Antioquia;Carepa
5804.4;70;70771;Sucre;Sucre
56075.99;41;41006;Huila;Acevedo
11533.66;13;13001;Bolívar;Cartagena de Indias
426416;19;19212;Cauca;Corinto
908;25;25483;Cundinamarca;Nariño
4132.87;15;15808;Boyacá;Tinjacá
44922.05;47;47551;Magdalena;Pivijay
51632.63;52;52612;Nariño;Ricaurte
3457.42;8;8296;Atlántico;Galapa
10800.73;5;5792;Antioquia;Tarso
32325.57;15;15232;Boyacá;Chíquiza
45974.3;54;54800;Norte de Santander;Teorama
29265.4;73;73854;Tolima;Valle de San Juan
6368.76;27;27450;Chocó;Medio San Juan (Andagoya)
2428.67;73;73449;Tolima;Melgar
7025.64;68;68368;Santander;Jesús María
30391.34;15;15842;Boyacá;Úmbita
1083205.05;50;50573;Meta;Puerto López
83600.79;5;5440;Antioquia;Marinilla
7520.48;5;5206;Antioquia;Concepción
8408.57;25;25312;Cundinamarca;Granada
46580.31;73;73555;Tolima;Planadas
167334.15;54;54001;Norte de Santander;Cúcuta
25322.46;5;5093;Antioquia;Betulia
8600.4;86;86885;Putumayo;Villagarzón
158599.19;5;5134;Antioquia;Campamento
47079.12;99;99001;Vichada;Puerto Carreño
91559.9;25;25491;Cundinamarca;Nocaima
15251.31;15;15189;Boyacá;Ciénega
29798.43;99;99524;Vichada;La Primavera
1115.35;15;15322;Boyacá;Guateque
7333.2;47;47170;Magdalena;Chivolo
9503.1;13;13810;Bolívar;Tiquisio (Puerto Rico)
12887.16;19;19780;Cauca;Suárez
14035.24;86;86569;Putumayo;Puerto Caicedo
105527.18;85;85001;Casanare;Yopal
81714.88;5;5697;Antioquia;Santuario
59428.28;25;25394;Cundinamarca;La Palma
14575.7;15;15822;Boyacá;Tota
7464.44;97;97001;Vaupés;Mitú
6438.45;50;50245;Meta;El Calvario
65524.08;5;5856;Antioquia;Valparaiso
13855.52;5;5021;Antioquia;Alejandría
3503.73;68;68051;Santander;Aratoca
62049.82;66;66594;Risaralda;Quinchía
3727.85;68;68780;Santander;Suratá
22055.59;17;17050;Caldas;Aranzazu
8236.1;25;25839;Cundinamarca;Ubalá
25147.67;41;41615;Huila;Rivera
452881.09;15;15664;Boyacá;San José de Pare
10608.92;47;47707;Magdalena;Santa Ana
8460.83;68;68001;Santander;Bucaramanga
12789.6;73;73200;Tolima;Coello
11092.36;25;25322;Cundinamarca;Guasca
20482.28;52;52317;Nariño;Guachucal
7454.39;18;18410;Caquetá;Montañita
59736.47;20;20013;Cesar;Agustín Codazzi
13742.46;20;20750;Cesar;San Diego
14568.26;52;52573;Nariño;Puerres
3714.48;68;68160;Santander;Cepitá
36432;23;23419;Córdoba;Los Córdobas
40446.78;25;25326;Cundinamarca;Guatavita
14688.85;86;86757;Putumayo;San Miguel (La Dorada)
151381.82;25;25592;Cundinamarca;Quebradanegra
2755.98;15;15466;Boyacá;Monguí
146320.95;47;47189;Magdalena;Ciénaga
36147.97;15;15442;Boyacá;Maripí
158228.82;54;54810;Norte de Santander;Tibú
92410.89;18;18753;Caquetá;San Vicente del Caguán
4397.1;8;8638;Atlántico;Sabanalarga
34046.63;25;25524;Cundinamarca;Pandi
4417.99;15;15236;Boyacá;Chivor
226.19;5;5360;Antioquia;Itagüí
128539.53;5;5541;Antioquia;Peñol
93841.25;19;19392;Cauca;La Sierra
90584.81;66;66572;Risaralda;Pueblo Rico
1289547.84;76;76275;Valle del Cauca;Florida
104201.31;23;23500;Córdoba;Moñitos
30263;66;66400;Risaralda;La Virginia
23378.81;52;52210;Nariño;Contadero
6677.63;5;5647;Antioquia;San Andrés
360912.52;76;76622;Valle del Cauca;Roldanillo
410.4;27;27073;Chocó;Bagadó
17661.07;20;20295;Cesar;Gamarra
9153.12;54;54313;Norte de Santander;Gramalote
21180.09;5;5318;Antioquia;Guarne
228107.02;52;52411;Nariño;Linares
15912.63;47;47030;Magdalena;Algarrobo
78942.98;66;66088;Risaralda;Belén de Umbría
83500.81;13;13654;Bolívar;San Jacinto
89907.94;17;17272;Caldas;Filadelfia
7799.45;5;5004;Antioquia;Abriaquí
2929.9;15;15172;Boyacá;Chinavita
18563.05;25;25745;Cundinamarca;Simijaca
37999.12;54;54245;Norte de Santander;El Carmen
3652.03;15;15820;Boyacá;Tópaga
106328.71;47;47268;Magdalena;El Retén
68629.19;52;52356;Nariño;Ipiales
5800.78;73;73873;Tolima;Villarrica
9972.15;27;27250;Chocó;El Litoral del San Juán (Docordó)
31468.17;19;19001;Cauca;Popayán
3848.81;70;70230;Sucre;Chalán
6676.76;52;52258;Nariño;El Tablón
12589.39;5;5237;Antioquia;Don Matías
7905.95;15;15106;Boyacá;Briceño
27744.76;23;23686;Córdoba;San Pelayo
296517.9;25;25793;Cundinamarca;Tausa
1612.04;73;73770;Tolima;Suárez
7575.46;15;15325;Boyacá;Guayatá
14945.2;81;81591;Arauca;Puerto Rondón
11392.86;23;23464;Córdoba;Momil
4497.15;5;5306;Antioquia;Giraldo
766933.13;76;76834;Valle del Cauca;Tuluá
291383.95;15;15185;Boyacá;Chitaraque
255319.7;27;27615;Chocó;Riosucio
1301.23;25;25612;Cundinamarca;Ricaurte
847.24;15;15537;Boyacá;Paz de Rio
13264.2;18;18094;Caquetá;Belén de los Andaquíes
52233.39;23;23079;Córdoba;Buenavista
1060828.62;76;76364;Valle del Cauca;Jamundí
50024.79;20;20570;Cesar;Pueblo Bello
69302.4;85;85010;Casanare;Aguazul
10077.6;13;13052;Bolívar;Arjona
34813.13;41;41872;Huila;Villavieja
359644.76;50;50287;Meta;Fuente de Oro
77478.74;73;73504;Tolima;Ortega
10158.44;8;8849;Atlántico;Usiacurí
15839.4;52;52786;Nariño;Taminango
1127.96;68;68013;Santander;Aguada
13656.8;66;66318;Risaralda;Guática
15428.25;27;27660;Chocó;San José del Palmar
50917.95;5;5885;Antioquia;Yalí
25830.88;5;5308;Antioquia;Girardota
11616.55;25;25823;Cundinamarca;Topaipí
43603.23;73;73067;Tolima;Ataco
141935.19;41;41132;Huila;Campoalegre
18604.71;68;68500;Santander;Oiba
2304.14;15;15299;Boyacá;Garagoa
35496.65;5;5364;Antioquia;Jardín
16176.9;5;5665;Antioquia;San Pedro de Urabá
3004.18;18;18860;Caquetá;Valparaíso
53510.02;5;5040;Antioquia;Anorí
67634.87;76;76828;Valle del Cauca;Trujillo
66947.99;68;68209;Santander;Confines
32697.18;52;52687;Nariño;San Lorenzo
184635;81;81065;Arauca;Arauquita
16957.32;68;68020;Santander;Albania
4047.54;19;19050;Cauca;Argelia
25137.38;5;5495;Antioquia;Nechí
